path,folder,name,ext,size_bytes,size_human,mtime,flags,peek
attribution_gae_pernode.py,.,attribution_gae_pernode.py,.py,15664,15.3KB,2026-07-26 00:20,,""""""" | ================================================================================ |  attribution_gae_pernode.py  (Phase B / Priority-1) |    Full attribution battery on PER-NODE GAE RECONSTRUCTION ERROR |    (the method the original plan specified; model-based, ties to the GAE) | ================================================================================ | Runs C1 (within-patient consistency), C2 (seizure-specificity vs interictal | null + lateralization), C3 (faithfulness: mass + occlusion) on the per-node"
attribution_headmap.py,.,attribution_headmap.py,.py,14754,14.4KB,2026-07-26 00:20,,""""""" | ================================================================================ |  attribution_headmap.py — DISPLAY-ONLY visualisation of per-channel attribution | ================================================================================ | Renders the per-node GAE reconstruction attribution on a 10-20 head schematic. |  | READ THIS BEFORE USING THE OUTPUT ANYWHERE | ------------------------------------------"
attribution_tpfp.py,.,attribution_tpfp.py,.py,35716,34.9KB,2026-07-26 00:20,,""""""" | ================================================================================ |  attribution_tpfp.py  —  STAGE 2 of ATTRIBUTION REDESIGN (PRE-REGISTRATION v3.1) |  TEST D ONLY: does attribution CONCENTRATION discriminate TP from FP detections? | ================================================================================ | Implements EXACTLY §4 / §4.1 / §4.2 / §4.4 of ATTRIBUTION_PREREGISTRATION_v3_1.md. | No test beyond D is implemented. No falsification criterion is altered. | Stage 1's |z| and Gini machinery is REUSED by import (§7 ordering), never re-defined."
attribution_v3.py,.,attribution_v3.py,.py,26068,25.5KB,2026-07-26 00:20,v3,""""""" | ================================================================================ |  attribution_v3.py  —  STAGE 1 of ATTRIBUTION REDESIGN (PRE-REGISTRATION v3.1) |  TEST A ONLY: attribution CONCENTRATION vs a length-matched pseudo-seizure null | ================================================================================ | Implements EXACTLY §3 of ATTRIBUTION_PREREGISTRATION_v3_1.md. No other test is | implemented here (Tests B/C/E are permanently dropped; Test D is Stage 2). | "
consolidate_outputs.py,.,consolidate_outputs.py,.py,7855,7.7KB,2026-07-26 00:20,,""""""" | consolidate_outputs.py  —  gather scattered thesis outputs into a clean results/ tree. | COPIES (never deletes) known artifacts, searched recursively from --root, into | categorized subfolders, and writes results/MANIFEST.txt. Safe to re-run. |  | Categories: |   results/locked/           locked event/window CSVs + auroc_verification |   results/attribution/      per-node recon attribution (primary) + eigencentrality (convergent)"
cpd_pipeline_v14.py,.,cpd_pipeline_v14.py,.py,7174,7.0KB,2026-07-26 00:20,v1,""""""" | ================================================================================ |  cpd_pipeline_v14.py  —  LOCKED production CPD algorithm (single source of truth) | ================================================================================ |  | WHY v14 EXISTS | -------------- | v13 was the CPD production stage, but two ALGORITHM-level improvements emerged"
diagnose_fp_mechanism.py,.,diagnose_fp_mechanism.py,.py,19541,19.1KB,2026-07-26 00:20,,""""""" | ================================================================================ |  diagnose_fp_mechanism.py  (Phase B+ / Step 0 — FP mechanism diagnostic) | ================================================================================ | WHY THIS FILE EXISTS | --------------------- | We know FP/day is high (38.0 balanced / 47.97 high-sens) but we have never | looked at WHAT the ~441 FP events (balanced point) actually are. This script"
duration_stratified_sensitivity.py,.,duration_stratified_sensitivity.py,.py,12359,12.1KB,2026-07-26 00:20,,""""""" | ================================================================================ |  duration_stratified_sensitivity.py  —  per-seizure hit/miss x duration | ================================================================================ | WHY THIS FILE | ------------- | locked_phaseA_event_results.csv / szcore_event_level_mag*.csv only give | per-SUBJECT tp/fn counts. To answer ""is sensitivity different for seizures"
edf_index.py,.,edf_index.py,.py,6345,6.2KB,2026-07-17 21:27,,""""""" | ================================================================================ |  edf_index.py  —  global-window-index -> (edf filename, offset_s) lookup | ================================================================================ | WHY THIS FILE | ------------- | The demo needs to answer: ""for subject chb15, show me the raw EEG for the | time range [start_s, end_s]"" where start_s/end_s are seconds measured from"
ensemble_recipe.py,.,ensemble_recipe.py,.py,3414,3.3KB,2026-08-06 19:55,,""""""" | ensemble_recipe.py — SINGLE SOURCE OF TRUTH for the ensemble anomaly score. |  | The ensemble is a weighted sum of the three per-view robust-z-normalised component | scores (recon = GAE reconstruction error, temporal = LSTM prediction error, | gamma = gamma-band AEC). The CPD stage (cpd_pipeline_v14) is scale-adaptive, so no | further renormalisation is applied after the weighted sum: the weighted sum of the | component z-scores IS the ensemble."
evaluation_protocol.py,.,evaluation_protocol.py,.py,30914,30.2KB,2026-07-26 00:20,,""""""" | ================================================================================ |  evaluation_protocol.py |  Two-tier (sample-based + event-based) evaluation for the unsupervised |  GAE + ensemble + PELT seizure-onset localization pipeline (CHB-MIT). | ================================================================================ |  | WHY THIS FILE EXISTS"
eval_multiseed.py,.,eval_multiseed.py,.py,13557,13.2KB,2026-07-26 00:20,,""""""" | ================================================================================ |  eval_multiseed.py  —  WEEK 1: calibrate the measuring instrument | ================================================================================ |  | PURPOSE | ------- | Before optimizing anything (Weeks 3-4), we must know whether the EVENT-LEVEL"
event_ablation.py,.,event_ablation.py,.py,11078,10.8KB,2026-07-26 00:20,,""""""" | ================================================================================ |  event_ablation.py  (Phase B / Week 7) |    Leave-one-signal-out ablation at the EVENT tier (SzCORE), complementing the |    window-AUROC ablation already in auroc_verification.csv. | ================================================================================ | Rebuilds the ensemble from the exported per-component z-scores and evaluates | each configuration through the AUTHORITATIVE locked scoring path"
fig5_eight_subjects.py,.,fig5_eight_subjects.py,.py,12328,12.0KB,2026-06-14 21:26,,""""""" | fig5_eight_subjects.py — 8-Subject Detection Overview Figure (v5) | 4x2 grid: ensemble z-score timeline for each subject, with seizure markers | and PELT change points at pen=0.5. |  | Changes vs v4: |   - REMOVED FCP/h from panel titles (not a standardised published metric |     at this granularity; removed per researcher decision)."
fig_A_three_scores.py,.,fig_A_three_scores.py,.py,11227,11.0KB,2026-06-15 14:21,,"#!/usr/bin/env python3 | """""" | fig_A_three_scores.py | Three-Signal Anomaly Score Decomposition — All 8 Test Subjects |  | Shows z_recon, z_temporal, |z_gamma| per 4-second window for each subject. | Seizure periods shaded. PELT TP change points (pen=0.3) marked. | Layout: 4x2 grid. No FCP/h reported."
