path,folder,name,ext,size_bytes,size_human,mtime,flags,peek
attribution_superseded/attribution_c1.py,attribution_superseded,attribution_c1.py,.py,10542,10.3KB,2026-07-26 00:20,,""""""" | ================================================================================ |  attribution_c1.py  (Phase B / Stage C1) |    Seizure channel attribution + within-patient consistency GO/NO-GO | ================================================================================ | GOAL |     Label-free, no-retrain proof-of-concept for Phase B spatial attribution. |     For each seizure, rank the 18 channels by how anomalous their graph"
attribution_superseded/attribution_c2.py,attribution_superseded,attribution_c2.py,.py,12681,12.4KB,2026-07-26 00:20,,""""""" | ================================================================================ |  attribution_c2.py  (Phase B / Stage C2) |    Consolidate seizure channel attribution into a thesis-ready result: |    attribution profile + convergent validity + interictal-null (seizure- |    specificity) + lateralization, with a per-subject ""which channel"" figure. | ================================================================================ | LOCKED CONFIG (from C1 go/no-go): feature = eigenvector centrality, graph ="
attribution_superseded/attribution_c3.py,attribution_superseded,attribution_c3.py,.py,8892,8.7KB,2026-07-26 00:20,,""""""" | ================================================================================ |  attribution_c3.py  (Phase B / Stage C3)  —  FAITHFULNESS of the attribution | ================================================================================ | QUESTION reviewers ask: ""are the attributed channels actually LOAD-BEARING for | the connectivity anomaly, or merely correlated with it?""  Two CPU-only tests, | no GAE / no GPU, on the same eigencentrality-anomaly used for detection's | connectivity component:"
cpd_history/build_cpd_timeline.py,cpd_history,build_cpd_timeline.py,.py,5732,5.6KB,2026-07-26 00:20,,"# src/build_cpd_timeline.py | """""" | Reconstruct chronological score timeline from separate inter/ictal arrays. |  | Algorithm: |   1. Parse summary file → get all EDF files in chronological order |      with their seizure annotations |   2. For each EDF file, determine how many windows it contributes"
cpd_history/compute_window_metrics.py,cpd_history,compute_window_metrics.py,.py,4688,4.6KB,2026-07-26 00:20,,""""""" | compute_window_metrics.py — Window-level precision, recall, F1, specificity | Uses per-subject P95 interictal threshold (fully unsupervised, no val labels). | Reads cached bidirectional gamma ensemble scores. | Usage: python src/compute_window_metrics.py | """""" |  | import numpy as np"
cpd_history/cpd_eval.py,cpd_history,cpd_eval.py,.py,2791,2.7KB,2026-07-26 00:20,,"# src/cpd_eval.py | """""" | Change Point Detection on ensemble anomaly score timeline. | No threshold required. Detects both upward and downward changes. | """""" | import numpy as np | import ruptures as rpt | from pathlib import Path"
cpd_history/cpd_pipeline.py,cpd_history,cpd_pipeline.py,.py,21990,21.5KB,2026-07-26 00:20,,""""""" | CPD Pipeline: Unsupervised Seizure Localization via Change Point Detection |  | Problem reframing: |   Threshold approach: ""Is window t a seizure?"" → binary, requires threshold calibration. |   CPD approach:       ""When did the brain connectivity pattern change?"" → temporal localization. |  | Pipeline:"
cpd_history/cpd_pipeline_v10.py,cpd_history,cpd_pipeline_v10.py,.py,17700,17.3KB,2026-07-26 00:20,v1,""""""" | CPD Pipeline v10 — Multivariate Change Point Detection | Author: Stanford/MIT Research Team (GAE & CPD for Epilepsy Research) |  | Changes implemented: | 1. True Late Fusion: Feeds raw 3D [GAE Reconstruction, Temporal LSTM, Gamma AEC]  |    normalized vectors directly to PELT instead of early 1D weighted average. | 2. Multidimensional PELT: Evaluates structural distance in a 3D Euclidean space, "
cpd_history/cpd_pipeline_v11.py,cpd_history,cpd_pipeline_v11.py,.py,18547,18.1KB,2026-07-26 00:20,v1,""""""" | CPD Pipeline v11 — Unsupervised ROI-Guided Change Point Detection | Author: Stanford/MIT Research Team (GAE & CPD for Epilepsy Research) |  | Changes implemented: | 1. Unsupervised ROI Segmentation: Identifies Regions of Interest (ROIs) where the  |    1D ensemble anomaly score exceeds the adaptive global 90th percentile (P90). | 2. Maximum Precision Search: Runs PELT inside ROIs with jump=1 (4-second search resolution),"
cpd_history/cpd_pipeline_v12.py,cpd_history,cpd_pipeline_v12.py,.py,19162,18.7KB,2026-07-26 00:20,v1,""""""" | CPD Pipeline v12 (Combined)  |  | Theoretical Framework: | This pipeline solves the sensitivity-specificity trade-off in seizure localization  | by sequentially applying three distinct mathematical paradigms: |   1. Temporal Low-Pass Filtering: A 1-minute rolling mean smooths high-frequency  |      interictal spikes, making sustained state transitions highly salient."
cpd_history/cpd_pipeline_v13.py,cpd_history,cpd_pipeline_v13.py,.py,20952,20.5KB,2026-07-26 00:20,v1,""""""" | CPD Pipeline v13 (Ultimate Robust - Instant CPU Execution) — Production-Grade Master Implementation | Author: Stanford/MIT Research Team (GAE & CPD for Epilepsy Research) |  | Performance Optimizations Implemented: |   1. Instant Cache Loading: Restored original cached GAE ensemble path names (_ens_inter.npy).  |      This skips PyTorch GCN model inference on CPU entirely, reducing run-time by 3 minutes per subject. |   2. Vectorized Window Labeling: Replaced expensive Python-level NumPy slicing loops inside "
cpd_history/cpd_pipeline_v2.py,cpd_history,cpd_pipeline_v2.py,.py,17438,17.0KB,2026-07-26 00:20,v2,""""""" | CPD Pipeline v2 — corrected: | Fix 1: chb17 filename pattern (chb17a/b/c prefix support) | Fix 2: Empty signal crash in run_pelt | Fix 3: Inter-exhaustion → synthetic neutral windows maintain seizure separation | """""" |  | import numpy as np"
cpd_history/cpd_pipeline_v6.py,cpd_history,cpd_pipeline_v6.py,.py,17524,17.1KB,2026-07-26 00:20,v6,import numpy as np | import torch | import torch.nn as nn | import re | import pandas as pd | import ruptures as rpt | from pathlib import Path | from sklearn.metrics import roc_auc_score
cpd_history/cpd_pipeline_v7.py,cpd_history,cpd_pipeline_v7.py,.py,16115,15.7KB,2026-07-26 00:20,v7,""""""" | CPD Pipeline v7 — Temporal Smoothing Implementation | Author: Stanford/MIT Research Team (GAE & CPD for Epilepsy Research) |  | Changes implemented: | 1. Low-Pass Temporal Smoothing: Applies a 1-minute centered moving average  |    (window=15) to filter out high-frequency transient spikes. | 2. Fast PELT L2 Sweep: Locks jump=5 (20-second resolution) over the smoothed 1D signal."
cpd_history/cpd_pipeline_v8.py,cpd_history,cpd_pipeline_v8.py,.py,15947,15.6KB,2026-07-26 00:20,v8,""""""" | CPD Pipeline v8 — Robust L1 Cost Implementation | Author: Stanford/MIT Research Team (GAE & CPD for Epilepsy Research) |  | Changes implemented: | 1. Robust L1 Cost: Uses absolute deviation cost (model=""l1"") in PELT  |    to ignore sparse, heavy-tailed impulsive outliers. | 2. Fast PELT L1 Sweep: Locks jump=5 (20-second resolution) over the raw 1D signal."
cpd_history/cpd_pipeline_v9.py,cpd_history,cpd_pipeline_v9.py,.py,15968,15.6KB,2026-07-26 00:20,v9,""""""" | CPD Pipeline v9 — Kernel RBF Cost Implementation | Author: Stanford/MIT Research Team (GAE & CPD for Epilepsy Research) |  | Changes implemented: | 1. Kernel RBF Cost: Uses Gaussian RBF kernel (model=""rbf"") in PELT  |    to track complex non-linear distributional and variance shifts. | 2. Fast PELT RBF Sweep: Locks jump=5 (20-second resolution) over the raw 1D signal."
cpd_history/cpd_tolerance_sweep.py,cpd_history,cpd_tolerance_sweep.py,.py,8782,8.6KB,2026-07-26 00:20,,""""""" | cpd_tolerance_sweep.py — Tolerance Sensitivity Analysis | Tests ±10s, ±20s, ±30s at pen=0.3, 0.5, 1.0 | Reads cached bidirectional gamma ensemble scores. No recomputation. | Usage: python src/cpd_tolerance_sweep.py | """""" |  | import numpy as np"
