path,folder,name,ext,size_bytes,size_human,mtime,flags,peek
ATTRIBUTION_SPEC.md,.,ATTRIBUTION_SPEC.md,.md,4068,4.0KB,2026-08-13 14:35,,"# ATTRIBUTION_SPEC — Channel Attribution (đã chốt) | ### Nguồn DUY NHẤT cho phần attribution. Thay thế: PREREG_05, ATTRIBUTION_PREREGISTRATION_v3_1, | ### và bộ attribution_c1/c2/c3 (Gini/AUC/consistency — đã bị bác bỏ, xóa khỏi project). | ### Trạng thái: bài toán/method/metric ĐÃ KHÓA; kết quả PROVISIONAL (chờ nhãn cứng của GVHD). |  | --- |  | ## 1. BÀI TOÁN (đã khóa)"
MASTER_HANDOFF_v2.md,.,MASTER_HANDOFF_v2.md,.md,8351,8.2KB,2026-08-07 00:48,v2,# MASTER HANDOFF v2 — after PHA 1 + PHA 1.5 (feed this to the next chat / Project knowledge) |  | Role for the next assistant: **Stanford/MIT-style research director**. Vietnamese for chat; English for | code/governance. Boti (Nguyen Quoc Trung Nhan) is the final decision-maker; runs on Kaggle (GPU) + | Cursor (`F:/Study/Thesis/Code`) and pastes output. Discipline: rigour over speed; pre-register before | running; never tune on the 8 test subjects; report as-is; archive-not-delete. **Read the method/docs | before proposing — do not reason from memory** (this was a real failure mode last session; the author's | pushback repeatedly corrected it — expect and welcome it).
NEXT_TASKS_AND_PLAN.md,.,NEXT_TASKS_AND_PLAN.md,.md,3542,3.5KB,2026-08-13 14:47,,"# NEXT_TASKS_AND_PLAN — Kế hoạch đi tới (đến 15/10 nộp, defense 2–3/11) | ### Bổ sung cho PLAN_AND_STATUS.md (phần lịch sử giữ nguyên). Không chứa số detection (chờ rebuild). |  | --- |  | ## 0. NGUYÊN TẮC CHỐNG XUNG ĐỘT SỐ (quan trọng nhất) | - `RESULTS_OF_RECORD.md` = **nguồn sự thật DUY NHẤT** cho mọi con số. Không nơi nào ghi số mâu thuẫn nó. | - **Trong lúc rebuild:** slide/report/demo dùng **số cũ đã khóa làm placeholder**, ghi nhãn ""pre-rebuild""."
PHASE_C_PLAN_v2.md,.,PHASE_C_PLAN_v2.md,.md,25152,24.6KB,2026-07-26 06:58,v2,"# PHASE C PLAN — Clinical Review Demo (ACTIVE, IN PROGRESS) | **Status: SPEC + 1 core module written. The former blocking prerequisite (attribution | re-run on the new ensemble weight) is RESOLVED — see §5. Backend/frontend work can | start once the UX/UI design step (§7) is complete. This file is a living plan, not a | locked decision record — update it as work progresses, the same way PLAN_AND_STATUS.md | is used for Phase A/B.** |  | **Last updated: 2026-07 (this session) — changes made:**"
PLAN_AND_STATUS.md,.,PLAN_AND_STATUS.md,.md,39004,38.1KB,2026-08-06 19:58,,"# PLAN & STATUS — Thesis CPD/GAE Seizure Detection | **Living document: where we are, what is done, what is next, and why. Read this first in any new chat. Update it as work progresses.** |  | --- |  | ## CURRENT STATUS: Phase A + A.5 + B CLOSED. Mentor-feedback round (#16–#18) + weight change (#19–#20) + weight-consistency pass (#21–#22) CLOSED. All technical + governance loose ends resolved; every weight-dependent number now on the Decision #19 weight. **Decision #23/#24 (CUSUM FP filter) TESTED and REJECTED — pipeline unchanged. Repo reorganized (flat `src/`) + pushed + self-reproduces bit-exact. ACTIVE phase = REPORT WRITING (Methods first, unblocked); the Phase-C demo is built in parallel, kept minimal, and treated as source material. WRITING TAKES PRIORITY when bandwidth is tight (IELTS 9 Oct). See `PROJECT_HANDOFF.md`.** | Algorithm locked in `cpd_pipeline_v14.py`; all numbers locked in `RESULTS_OF_RECORD.md` (authoritative — if this file ever disagrees with it on a number, RESULTS_OF_RECORD wins). No new science is planned before the Oct-1 technical lock — only consolidation, the literature table (Week 10), and the thesis chapters. See `PHASE_B_AUDIT_handoff.md` for the full Phase-B audit. | "
PROJECT_HANDOFF.md,.,PROJECT_HANDOFF.md,.md,12324,12.0KB,2026-08-01 00:13,,"# PROJECT HANDOFF — Unsupervised Seizure Temporal Localization (GAE + CPD) | *Single onboarding doc for the next session. Written after the provenance/consolidation phase closed.* |  | --- |  | ## 0. How to use this doc | You are picking up a biomedical-engineering thesis mid-project. This doc gives you the full picture: | identity, locked results, repo layout, what's done, what's left. **For any NUMBER, the authoritative"
Proposed_solution_updated_v5.md,.,Proposed_solution_updated_v5.md,.md,50908,49.7KB,2026-07-26 06:58,v5,"# PROPOSED SOLUTION — FINAL PLAN (v3) | ## Unsupervised Epileptic Seizure Temporal Localization in Scalp EEG using Graph Autoencoder and Change Point Detection | ## Student: Nguyen Quoc Trung Nhan | BEBEIU22184 | ## Supervisor: Hà Thị Thanh Hương (Associate Professor) | ## Registration form signed and submitted: June 10, 2026 | ## Last updated: June 22, 2026 (supersedes June 6, 2026 v2) |  | ---"
PROVENANCE_MAP.md,.,PROVENANCE_MAP.md,.md,10945,10.7KB,2026-08-06 19:59,,"# PROVENANCE MAP — Unsupervised Seizure Localization (GAE + CPD) |  | *Code lives in `src/` (flat); run scripts as `python src/<name>.py` from the repo root. Governance docs in `docs/`.* |  | **Purpose.** One page that lets a second researcher (or a reviewer, or you in a year) | trace every locked number back to the exact file that produced it, and tells them | which artifacts are authoritative vs. superseded. Companion to `RESULTS_OF_RECORD.md` | (numbers) and `PLAN_AND_STATUS.md` (status). When this file and `RESULTS_OF_RECORD.md`"
RESULTS_OF_RECORD.md,.,RESULTS_OF_RECORD.md,.md,51472,50.3KB,2026-08-06 19:57,,"# RESULTS OF RECORD — Locked numbers + provenance | **The single authoritative source for every reported number. Each value lists the file it comes from so nothing is re-derived or misremembered. If any other file disagrees, THIS file wins.** |  | Last locked: **end of Phase B**; refined **2026-07 (mentor-feedback round, Decisions #16–#18, §10–§12)**; **further refined 2026-07/08 (Decisions #19–#20, §1/§10/§11/§13) — ensemble weight changed and a seeding bug in the mag%×pen grid sweep was found, fixed, and re-verified**; **weight-consistency pass 2026-08 (Decisions #21–#22, §2/§4/§8/§9/§14) — every remaining weight-dependent number (window tier §2, event ablation §8, window↔event gap §9) re-verified under the Decision #19 weight; §7 attribution confirmed weight-invariant; a single-source ensemble recipe was introduced and the old-weight ens cache quarantined.** Protocol: SzCORE (Dan et al., *Epilepsia* 2024), patient-independent, 8 test subjects, 76 seizures, scored with the `timescoring` library (any-overlap; 30 s pre / 60 s post tolerance; merge < 90 s; split > 5 min). FP/day denominator = interictal hours. |  | --- |  | ## 1. EVENT-LEVEL (primary results)"
RUBRIC_TRACKING.md,.,RUBRIC_TRACKING.md,.md,3819,3.7KB,2026-08-01 00:10,,"# RUBRIC TRACKING — thesis scoring checklist | *Maps each of the 8 rubric criteria (from `Thesis_Rubric.pdf`, total 100) to where it is covered in the | report and what still needs writing. Update the Status column as chapters get drafted. | Legend: ✅ evidence exists / 🟡 partial / 🔴 to write.* |  | | # | Criterion (pts) | Status | Covered by (chapter / file) | What's still needed | | |---|---|---|---|---| | | 1 | **Literature review + knowledge gap** (PI 7C, 15) | 🟡 | Ch.1 Intro + Related Work; `docs/Proposed_solution_updated_v5.md` §II; the two research memos (Literature_Review, Spatial_Localization) | Write Related Work prose; **complete literature comparison table** + the 4 pending DOIs; state the unsupervised-graph-attribution gap explicitly (Layer-3 is novel — no product has it). Use Yildiz=0.68; Transformer=TUH not CHB-MIT. |"
